104401573200400	82806289	123456789012001	80198001	
000000000000001	00000006	000000000000001	00000006	8EBB00D03EAD89148EBB00D03EAD8914
000000000000001	19188009	305440173990014	47207859	
000000000000002	20188017	000000000000001	20188017	8EBB00D03EAD8914
000000000000001	93930006	000000000000001	93930006	8EBB00D03EAD8914
123456789123456	12345678	305440173990014	47207886	CF151A3C7C76972A2286979FF0CF2E92
000000000000001	83988013	305440153980006	47215242	
000000000000002	00000099	000000000000001	00000091	8EBB00D03EAD8914
104402599800001	96915440	123497846546546	65445645	
104401573200394		123497898799877	47643987	
104401573200394	75155057	123497898799877	47643989	
104401573200395	87263665	111111222222222	11111111	
014401739900387	51303941	014401739900387	51303941	8EBB00D03EAD8914
104401573200397	96329422	123497898799871	22334451	
104401573200398	49235392	999999999900000	22312211	
104401573200399	50594447	123497898799890	22334453	
104412599800263	56029596	103441259984316	51034391	83351E7793F4E98B45ADCD670944C9ED
104401573200399	76797065	123497898799890	22334454	
104401573200399	59080358	123497898799890	22334455	
104401513700008	03379326	440100000000001	44010001	
104401573200401	72296622	123456789012002	80198002	
104401573200315	83142566	123456780899810	19877134	FBB38D5AF4ABCC2C92CFB1A52B5B24F19
104401573200321	09170737	123456780899816	09877140	
104401573200322	33340442	123456780899817	99877140	
104401573200322	96678464	123456780899817	09877141	
104401573200316	26620066	123456780899811	19877135	
104401573200323	51362952	123456780899818	99877141	
104401573200323	76620466	123456780899818	09877142	
104401573200324	85050619	123456780899819	99877142	
104401573200317	55017070	123456780899812	19877136	FBB38D5AF4ABCC2C92CFB1A52B5B24F21
104401573200324	11846483	123456780899819	09877143	
104401573200325	40077762	123456780899820	99877143	
104401573200318	07651188	123456780899813	19877137	FBB38D5AF4ABCC2C92CFB1A52B5B24F22
